cgpa,backlogs,college_tier,country,university_ranking_band,internship_count,aptitude_score,communication_score,specialization,industry,internship_quality_score,placement_status,salary,college_tier_score,univ_ranking_score
7.397371322,1,Tier 2,Canada,100-300,2,53.57415003,64.17706233,Data Science,Consulting,5.481449846,Placed,104124.3678,2,2
6.889388559,0,Tier 3,UK,300+,1,60.68775004,88.34605151,Data Science,Consulting,4.625099377,Placed,80586.83831,1,1
7.51815083,0,Tier 1,UK,100-300,2,64.56874987,69.49317116,Cybersecurity,Healthcare,5.227938628,Placed,114444.3181,3,2
8.218423885,0,Tier 2,UK,100-300,3,73.46150014,78.20485412,AI/ML,Tech,5.150673765,Placed,120000.0,2,2
6.8126773,1,Tier 2,USA,100-300,4,86.51812058,44.68088106,Data Science,Consulting,3.888824314,Placed,120000.0,2,2
8.263370252,1,Tier 3,India,300+,2,61.93859439,71.83706818,Core CS,Manufacturing,3.366859764,Placed,37961.5454,1,1
6.624420491,0,Tier 2,India,100-300,3,70.13397901,78.08772722,Cloud,Consulting,5.026075477,Placed,45794.4293,2,2
6.629265846,1,Tier 2,USA,Top 100,2,64.24278661,73.08297386,Cloud,Healthcare,4.778924892,Placed,99717.52926,2,3
6.189735104,1,Tier 1,USA,100-300,0,65.14670895,48.96862443,Data Science,Tech,6.973043921,Placed,120000.0,3,2
7.251397866,2,Tier 1,India,100-300,1,71.73040648,59.52219543,Core CS,Other,6.01086753,Placed,52572.37664,3,2
5.870157039,1,Tier 3,Canada,100-300,2,76.01966061,84.96776026,Core CS,Tech,9.320751544,Placed,80329.952,1,2
8.172519015,1,Tier 2,USA,300+,2,93.118756,46.48934922,Data Science,Tech,4.493543239,Placed,120000.0,2,1
6.81937896,0,Tier 3,Germany,Top 100,0,66.8122611,57.57184357,AI/ML,Tech,2.795812341,Placed,84909.08784,1,3
6.56449382,1,Tier 2,Germany,100-300,2,97.62886532,73.53209988,Cloud,Healthcare,5.457736568,Placed,84269.98553,2,2
7.300558415,1,Tier 1,India,100-300,1,79.11865762,78.05316174,Core CS,Manufacturing,5.710089959,Placed,56107.92842,3,2
6.519489048,0,Tier 2,USA,Top 100,2,60.51390149,49.51317165,Cybersecurity,Consulting,6.56862328,Placed,106322.7661,2,3
6.766645,0,Tier 2,USA,100-300,3,76.1813138,47.2791453,AI/ML,Tech,3.800984718,Placed,120000.0,2,2
6.51863471,1,Tier 3,UK,300+,2,85.83847679,87.49725503,AI/ML,Finance,3.460430331,Placed,98003.22848,1,1
6.98920222,1,Tier 3,UK,Top 100,2,58.27827893,53.91168634,Data Science,Finance,3.308396629,Placed,85923.09926,1,3
6.153831257,0,Tier 3,Canada,100-300,2,93.4577415,50.50551445,Cybersecurity,Other,6.01655359,Placed,66105.97584,1,2
7.65803593,1,Tier 2,Germany,300+,5,39.09104263,55.62814473,Cybersecurity,Finance,4.902389877,Placed,93810.3348,2,1
6.02332508,0,Tier 3,India,100-300,3,93.17753071,70.44522805,Cybersecurity,Finance,6.93588007,Placed,33094.82174,1,2
7.157488989,0,Tier 2,USA,100-300,2,77.54325721,50.56900886,Cybersecurity,Tech,4.030063931,Placed,117010.9539,2,2
7.137094625,2,Tier 1,USA,300+,2,65.44565645,60.41721453,Core CS,Consulting,4.041592784,Placed,118831.696,3,1
6.759117044,1,Tier 1,UK,100-300,1,46.47307758,100.0,Data Science,Healthcare,8.11427458,Placed,120000.0,3,2
6.631488983,2,Tier 2,Canada,100-300,1,57.83303254,58.89136305,Core CS,Manufacturing,7.749656313,Placed,88509.4799,2,2
7.845697781,1,Tier 1,Germany,300+,2,67.06943442,58.15975279,Cloud,Healthcare,4.469635203,Placed,96668.61722,3,1
7.274894632,1,Tier 2,UK,Top 100,0,47.39750245,67.51621767,Core CS,Other,4.954492459,Placed,104814.5058,2,3
6.4584624,1,Tier 2,UK,100-300,4,82.5990071,59.69499221,Cloud,Consulting,6.301608831,Placed,84686.91344,2,2
7.489341031,0,Tier 3,USA,100-300,0,72.47843035,46.15722994,Data Science,Consulting,6.226184152,Placed,106688.5036,1,2
6.328625981,0,Tier 2,UK,Top 100,4,45.53416149,92.79945361,Cybersecurity,Finance,2.918682969,Placed,90446.50048,2,3
6.752630099,0,Tier 2,Canada,Top 100,2,58.99524513,63.31545255,AI/ML,Finance,5.994621691,Placed,112291.3012,2,3
7.265010745,3,Tier 1,USA,Top 100,0,67.5813898,58.29368156,Cloud,Healthcare,8.546200458,Placed,120000.0,3,3
6.851472819,0,Tier 1,USA,100-300,2,60.92216122,63.90556096,Data Science,Tech,6.212715117,Placed,120000.0,3,2
7.650020658,1,Tier 1,USA,100-300,2,100.0,66.27279983,Data Science,Manufacturing,3.487942941,Placed,120000.0,3,2
8.084992023,0,Tier 3,UK,100-300,1,64.87974088,84.70728075,Cloud,Healthcare,5.506788787,Placed,82201.15646,1,2
7.802826318,0,Tier 3,India,300+,0,79.66985665,59.45113778,Core CS,Other,6.154024664,Placed,37311.75838,1,1
7.28930882,0,Tier 2,India,100-300,2,63.79031054,47.41884867,Cloud,Other,3.382561703,Placed,51152.8736,2,2
7.289116484,3,Tier 1,Germany,300+,2,91.21158374,46.55382472,Core CS,Consulting,4.255311429,Placed,94442.10848,3,1
8.230429253,0,Tier 1,USA,300+,3,67.78964579,63.08546058,Cloud,Manufacturing,5.553784828,Placed,120000.0,3,1
6.971339169,1,Tier 1,USA,100-300,3,65.18645068,76.38156556,Core CS,Consulting,4.027620399,Placed,120000.0,3,2
8.251714925,1,Tier 3,USA,300+,1,68.26994364,49.5077076,Cybersecurity,Tech,3.600965684,Placed,94815.16667,1,1
7.657522004,1,Tier 3,UK,300+,0,76.3817045,89.24038465,Data Science,Finance,6.263580544,Placed,94893.48141,1,1
7.073408621,0,Tier 3,Germany,100-300,0,70.08102218,47.57817308,Core CS,Other,4.090864948,Placed,68570.525,1,2
5.409944868,3,Tier 3,USA,Top 100,2,58.06825711,64.98401668,AI/ML,Finance,6.657852011,Placed,97423.62788,1,3
6.82426249,0,Tier 2,Canada,300+,2,51.83368833,84.49519232,Data Science,Manufacturing,6.269912821,Placed,101744.3369,2,1
7.285690057,0,Tier 1,USA,Top 100,3,56.31676401,90.0341325,Core CS,Consulting,6.006305183,Placed,120000.0,3,3
8.182315236,1,Tier 1,USA,Top 100,0,61.96962207,84.63808776,Cloud,Tech,8.51995225,Placed,120000.0,3,3
6.585383825,0,Tier 2,USA,300+,1,56.85588622,93.92340347,Cloud,Consulting,7.129919004,Placed,101892.3611,2,1
6.353205118,1,Tier 2,UK,100-300,2,80.69108022,81.80780329,AI/ML,Other,4.860143367,Placed,101613.226,2,2
6.598594365,2,Tier 3,Canada,300+,0,93.62962904,53.79360939,AI/ML,Tech,4.065425041,Placed,84286.81238,1,1
7.732321694,1,Tier 2,India,100-300,3,72.37882067,87.12744978,Data Science,Consulting,9.097383012,Placed,56419.91603,2,2
7.263000888,2,Tier 2,UK,300+,2,66.08895912,47.26843434,Data Science,Consulting,6.887604571,Placed,110024.3556,2,1
7.774915992,2,Tier 3,Canada,300+,3,86.7782591,50.03894862,Core CS,Finance,3.31313338,Placed,70786.97027,1,1
6.438357525,1,Tier 2,India,Top 100,2,55.67692554,70.0907902,Cybersecurity,Other,4.109703274,Placed,42694.02281,2,3
6.737870283,1,Tier 3,UK,300+,4,86.39397163,79.3302227,Cloud,Healthcare,6.929868483,Placed,68654.34834,1,1
6.686313477,0,Tier 2,Canada,300+,3,57.29316077,70.33486719,AI/ML,Consulting,6.390393257,Placed,99970.77741,2,1
5.829188041,3,Tier 2,Germany,100-300,1,84.08207709,74.6944014,Core CS,Tech,5.05144038,Placed,83959.42153,2,2
7.236896222,2,Tier 3,Canada,100-300,1,53.97031211,73.43507183,Data Science,Other,5.994124089,Placed,88351.32374,1,2
7.208844218,2,Tier 3,Canada,300+,1,80.23811697,63.88990833,Data Science,Healthcare,3.890712105,Placed,86522.23324,1,1
5.867703406,1,Tier 1,USA,Top 100,3,74.60307541,77.2733056,AI/ML,Other,6.141682725,Placed,120000.0,3,3
6.725828387,1,Tier 1,Canada,300+,0,69.20461174,59.42483249,Cybersecurity,Tech,5.981661269,Placed,110946.8047,3,1
7.323240685,2,Tier 2,UK,100-300,1,73.32080014,42.5150154,AI/ML,Healthcare,5.52877471,Placed,107667.8096,2,2
8.508948721,2,Tier 2,UK,100-300,3,51.76507956,62.73903607,Cloud,Manufacturing,4.876423499,Placed,110830.5582,2,2
7.13966225,1,Tier 2,Germany,300+,1,66.94318202,80.73728661,Cloud,Finance,6.668655959,Placed,82321.86741,2,1
7.206040313,0,Tier 1,UK,100-300,2,46.67115876,70.49461062,AI/ML,Other,2.690957391,Placed,119651.8187,3,2
6.940443267,3,Tier 3,UK,300+,4,65.95549118,48.53284832,Data Science,Healthcare,7.280589067,Placed,71138.25859,1,1
6.9787889,2,Tier 2,USA,Top 100,0,73.52217928,64.94508067,Data Science,Other,4.568958112,Placed,120000.0,2,3
8.97059369,1,Tier 1,India,Top 100,3,64.81286832,54.10635005,Cloud,Healthcare,7.112879879,Placed,64521.39779,3,3
7.241237874,1,Tier 2,USA,100-300,1,96.17442487,60.99409872,AI/ML,Consulting,4.256412122,Placed,120000.0,2,2
6.972230584,2,Tier 1,Canada,300+,2,53.6151223,61.26354616,Data Science,Healthcare,6.550078862,Placed,112915.814,3,1
7.914258252,1,Tier 3,India,100-300,1,54.10945411,92.68922655,Data Science,Tech,5.157898794,Placed,55363.65681,1,2
7.601546426,2,Tier 1,India,Top 100,1,88.96795361,83.674424,Cybersecurity,Finance,6.056811159,Placed,65815.0779,3,3
6.272490036,0,Tier 2,Canada,Top 100,0,54.94310568,77.7853203,Cloud,Healthcare,5.102689697,Placed,86903.65343,2,3
8.122235449,0,Tier 2,USA,Top 100,1,73.33160766,56.39063315,Core CS,Other,4.460345285,Placed,117180.6464,2,3
5.87851915,2,Tier 3,USA,100-300,3,87.85037323,47.22893002,Cloud,Manufacturing,4.073713282,Placed,79951.35982,1,2
7.469485675,1,Tier 3,UK,300+,0,85.2252874,93.15650877,Cloud,Finance,5.79382844,Placed,81024.35548,1,1
8.752364501,0,Tier 2,USA,300+,1,83.17612227,63.51708546,Core CS,Manufacturing,5.09631926,Placed,117375.4784,2,1
6.20757094,0,Tier 3,Germany,100-300,1,73.76816181,74.82097609,AI/ML,Tech,5.14462859,Placed,87594.95427,1,2
7.079721092,2,Tier 2,Canada,100-300,4,89.37120705,79.73304522,Cloud,Tech,4.982938528,Placed,101307.7062,2,2
6.597219477,0,Tier 3,India,100-300,0,89.81661572,99.40301183,Data Science,Consulting,5.679172593,Placed,38553.46107,1,2
7.378873945,0,Tier 3,India,Top 100,2,73.5525391,65.09075153,Core CS,Manufacturing,4.208016003,Placed,40739.92334,1,3
6.264460613,1,Tier 2,Germany,Top 100,1,73.96600899,47.46578757,AI/ML,Finance,6.900217383,Placed,104086.7898,2,3
8.239947524,0,Tier 3,Germany,100-300,5,51.89728396,62.04755372,Core CS,Consulting,4.860859638,Placed,71727.74547,1,2
6.373397366,0,Tier 2,USA,Top 100,3,77.94269195,57.47813701,Cloud,Tech,6.724905549,Placed,118646.2338,2,3
6.742350787,2,Tier 2,India,100-300,1,54.67692069,83.35676705,Cloud,Manufacturing,4.757658313,Placed,42242.7865,2,2
